"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","states_col"
"Just had to pull out of @MedievalAcademy 2019 conference. Every family member has flu, Kid #1 seriously so. No slee… https://t.co/vhYTqHMfSs",FALSE,1,NA,"3/5/2019 17:46",TRUE,NA,"1.1e+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WinstonEBlack",0,FALSE,FALSE,-71.8022934,42.2625932,"Worcester, MA","Massachusetts"
"Each year #FluSeason comes with a new vaccine to protect against a different strain of the flu virus. #UMaine resea… https://t.co/FJU0Db823g",FALSE,1,NA,"3/5/2019 17:30",TRUE,NA,"1.1e+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UMaine",2,FALSE,FALSE,-68.6719411,44.8831125,"Orono, ME","Maine"
"After oral #typhoid vaccine was unexpectedly found to protect against influenza, researchers designed a study to lo… https://t.co/4g3SL1P326",FALSE,1,NA,"3/5/2019 17:11",TRUE,NA,"1.1e+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PreventTyphoid",0,FALSE,FALSE,-77.0368707,38.9071923,"Washington, DC","District of Columbia"
"There’s still time to get your flu shot to avoid contracting the flu during peak season! https://t.co/GamMOXFCLP",FALSE,0,NA,"3/5/2019 17:10",FALSE,NA,"1.1e+18",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NHSPIndex",0,FALSE,FALSE,-77.0368707,38.9071923,"Washington, DC","District of Columbia"
"Do you know how you'll survive a flu epidemic? https://t.co/y90pQ4oBqO",FALSE,0,NA,"3/5/2019 17:07",FALSE,NA,"1.1e+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","USStandard",0,FALSE,FALSE,-95.712891,37.09024,"United States","Kansas"
"A new study shows that vaccination with a weakened strain of salmonella not only protects against typhoid fever but… https://t.co/waJdwaRBSf",FALSE,4,NA,"3/5/2019 16:56",TRUE,NA,"1.1e+18",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SHEA_Epi",1,FALSE,FALSE,-77.0909809,38.8816208,"Arlington, VA","Virginia"
"Attend the #FDA's 2018-2019 #Flu #vaccine selection #WEBEX Wednesday at
https://t.co/Y0IMLMLypl

If you want to und… https://t.co/olU0PtwNYl",FALSE,0,"Potrblog","3/5/2019 16:55",TRUE,"1.1e+18","1.1e+18","292493063","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Potrblog",0,FALSE,FALSE,-90.1994042,38.6270025,"Saint Louis","Missouri"
"Even if you're not aware of it, it's likely that your emotions will influence someone around you today.

Emotions c… https://t.co/pUZipwxlep",FALSE,1,NA,"3/5/2019 16:45",TRUE,NA,"1.1e+18",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","westsidehealth",0,FALSE,FALSE,-75.5276699,38.9108325,"Delaware","Delaware"
"The CDC reports that Indiana's flu season is peaking right now. With that in mind, our corporation nurse has some h… https://t.co/eCRLtfdKVy",FALSE,1,NA,"3/5/2019 16:30",TRUE,NA,"1.1e+18",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SouthernHancock",1,FALSE,FALSE,-85.8891471,39.7219882,"New Palestine, IN","Indiana"
"@YaleEIP FluSurv-NET surveillance expertise is on the pulse of CT flu hospitalizations. Week 8 update for the 2018-… https://t.co/E12OYAk7bo",FALSE,2,"YaleEIP","3/5/2019 16:18",TRUE,NA,"1.1e+18","1.02e+18","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YaleEIP",0,FALSE,FALSE,-72.9278835,41.308274,"New Haven, CT","Connecticut"
"Wash your hands, get your flu shot.

https://t.co/FELcz8ZMXj",FALSE,0,NA,"3/5/2019 16:17",FALSE,NA,"1.1e+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lelindstrom",2,FALSE,FALSE,-83.5378674,41.6528052,"Toledo, OH","Ohio"
"@CDCgov : Dangerous #flu strain overtakes H1N1 this season - https://t.co/nWPNKWJEjl  via @upi",FALSE,0,"CDCgov","3/5/2019 16:12",FALSE,NA,"1.1e+18","146569971","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AIRWorldwide",0,FALSE,FALSE,-71.0588801,42.3600825,"Boston, MA","Massachusetts"
"Tougher flu virus could prolong the season https://t.co/9TKYSFd1y7",FALSE,1,NA,"3/5/2019 15:48",FALSE,NA,"1.1e+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JulieEWash",1,FALSE,FALSE,-81.6943605,41.49932,"Cleveland, Ohio","Ohio"
"@PeterDawsonUSA @thehill @TheHillOpinion 1/ none were as important as border security? really?  so I guess 9/11 and… https://t.co/IbApuIE3lR",FALSE,0,"PeterDawsonUSA","3/5/2019 15:32",TRUE,"1.1e+18","1.1e+18","84091971","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alorr4uz",0,FALSE,FALSE,-85.4669025,37.8092279,"Bardstown, KY","Kentucky"
"Wash your hands often! <U+0001F450> Large-scale absences reported at some Toledo-area schools and the closure of at least one… https://t.co/Ttr3xAOTgw",FALSE,1,NA,"3/5/2019 15:09",TRUE,NA,"1.1e+18",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","toledonews",1,FALSE,FALSE,-83.5378674,41.6528052,"Toledo, OH","Ohio"
"Remember to get your flu shot!
https://t.co/OeiaEXXDOh",FALSE,0,NA,"3/5/2019 15:01",FALSE,NA,"1.1e+18",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","NYSAGING",0,FALSE,FALSE,-73.7562317,42.6525793,"Albany, NY","New York"
