"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"@cverseajr PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic questi… https://t.co/QS2P3v1RJy",FALSE,0,"cverseajr","2019-04-18 22:28:03",TRUE,NA,"1119004692862816256","3187781623","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"@TheRealLiowen @GrtCdnNeckbeard The new PROPOSED plan is for random checks. Nothing is listed with a timeframe. My… https://t.co/gq3DGcpXsS",FALSE,0,"TheRealLiowen","2019-04-18 22:27:56",TRUE,"1119003890395959296","1119004662429102080","321336096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CaptainObviuz",0,FALSE,FALSE,NA,NA,"Westchester County, NY"
"The ole College Football blues hitting hard today. Only 5 more months <U+0001F62B><U+0001F62B>",FALSE,0,NA,"2019-04-18 22:27:52",FALSE,NA,"1119004648164216832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BigETJ",0,FALSE,FALSE,NA,NA,"Florida"
"@KDavis077 PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic questi… https://t.co/vjOxNArhm1",FALSE,0,"KDavis077","2019-04-18 22:27:50",TRUE,NA,"1119004640178130944","923253290397204480","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"Just won over £200 on the football... what a start to a bank holiday weekend <U+26BD><U+FE0F><U+0001F44D><U+0001F3FB>",FALSE,0,NA,"2019-04-18 22:27:28",FALSE,NA,"1119004544250384384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eeelliepile",0,FALSE,FALSE,NA,NA,"dover"
"@RGrich15 Tell that to b-ball players when they dunk and flex. Or a football player when they make a tackle or get… https://t.co/K2BgM2857L",FALSE,0,"RGrich15","2019-04-18 22:27:27",TRUE,"1118620004889575424","1119004543113682944","380163715","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iman_lerner",0,FALSE,FALSE,NA,NA,"New York, NY"
"@stanverrett “Game of football” Hahahahahah. Yup.  That ostentatious stadium built for a ring-less team!  28-3 was… https://t.co/rj8XuOejWE",FALSE,0,"stanverrett","2019-04-18 22:27:16",TRUE,"1118690925482373120","1119004493776138240","390800843","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KyleRobinWHODAT",0,FALSE,FALSE,NA,NA,"Philadelphia, PA"
"Two guys lives intersected on a football field-together being prayed for. @UCF_Football @CFTalk @Heartland_CS… https://t.co/8GnQYCAI1P",FALSE,0,NA,"2019-04-18 22:27:15",TRUE,NA,"1119004493386080256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fbcpastorjeff",0,FALSE,FALSE,NA,NA,"Ocoee, FL"
"@CooperWilcox5 PrepStar Magazine has identified you as a top college prospect via HUDL. 

Step 1 complete this brie… https://t.co/TGu7Ch7Tq3",FALSE,0,"CooperWilcox5","2019-04-18 22:27:02",TRUE,NA,"1119004437228310528","1063793901981638656","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"@wasram Started to listening to their pod and have found 2 people who hate covering football and doing their jobs",FALSE,1,"dabayrz","2019-04-18 22:26:58",FALSE,"1118903096791502848","1119004418664534016","15591215","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dabayrz",0,FALSE,FALSE,NA,NA,"Richmond"
