"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"Check out what I just added to my closet on Poshmark: Nike golf shirt men’s medium. https://t.co/TgCc9xhds9 via @poshmarkapp #shopmycloset",FALSE,0,NA,"2019-04-18 23:26:23",FALSE,NA,"1119019372918362112",NA,"<a href=""http://poshmark.com/"" rel=""nofollow"">Poshmark</a>","ShellieLawlor",0,FALSE,FALSE,NA,NA,"Massachusetts"
"Trump's Golf Game Gets TROLLED In EPIC Way https://t.co/mY0gjjqloC via @YouTube  #trumpsFullOfIt",FALSE,0,NA,"2019-04-18 23:26:09",FALSE,NA,"1119019313015529472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmmaGraceSmith9",0,FALSE,FALSE,NA,NA,"North Carolina, USA"
"You known it’s April in Wisconsin when you keep an ice scraper in the back of your car next to your golf clubs.",FALSE,0,NA,"2019-04-18 23:25:42",FALSE,NA,"1119019200184573952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrNortman",0,FALSE,FALSE,NA,NA,"Madison, WI"
"NEW BALANCE MENS NBG574 LEATHER SPIKED GOLF SHOES - GRAY - https://t.co/M52eNllSyB https://t.co/5obHLiB15p",FALSE,0,NA,"2019-04-18 23:25:39",FALSE,NA,"1119019189824438272",NA,"<a href=""https://buyaussiestuff.com"" rel=""nofollow"">buyaussiestuff</a>","Jrd117",0,FALSE,FALSE,NA,NA,"Australia"
"For tomorrow's opening round of the 2019 @CAASports Men's Golf Championship, the Phoenix is scheduled to tee off fr… https://t.co/z2mJ61U4Fg",FALSE,0,NA,"2019-04-18 23:25:17",TRUE,NA,"1119019096673325056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElonGolf",0,FALSE,FALSE,NA,NA,"Elon, NC"
"Congratulations to our golf team for winning the gold division at today’s Lakeview Invite! https://t.co/TLXfwpOj4T",FALSE,0,NA,"2019-04-18 23:25:06",FALSE,NA,"1119019051735498752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","STLSharks",0,FALSE,FALSE,NA,NA,"St. Louis, MI"
"Congratulations Boys Golf on defeating Middletown North 171-224 today to improve to 10-0 on the season! #COUGARPRIDE #CNHSSPORTS <U+0001F682>",FALSE,0,NA,"2019-04-18 23:25:02",FALSE,NA,"1119019034559832064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CNHSAthletics",0,FALSE,FALSE,NA,NA,"Colts Neck, NJ"
"Final from Westwood Golf Course: Salem 168, Scottsburg 193 @MSConference",FALSE,0,NA,"2019-04-18 23:25:00",FALSE,NA,"1119019025651122176",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","scsd2athletics",0,FALSE,FALSE,NA,NA,"Scottsburg, IN"
"From Christie to Kushner to Trump’s golf course, all the Jersey moments in the Mueller report… https://t.co/RTPIn1uSK8",FALSE,0,NA,"2019-04-18 23:24:56",TRUE,NA,"1119019006915166208",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NJ_Politics",0,FALSE,FALSE,NA,NA,"Trenton, NJ"
"If you think a player showing emotion and flipping their bat is “ruining the sport” go play golf <U+0001F624> https://t.co/FTAkKLKnq9",FALSE,0,NA,"2019-04-18 23:24:56",FALSE,NA,"1119019006164385792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SahandYazdanyar",0,FALSE,FALSE,NA,NA,"Baltimore, MD"
"How many times has President Donald Trump played golf while in office? https://t.co/xN8FahhRhZ",FALSE,0,NA,"2019-04-18 23:24:48",FALSE,NA,"1119018974291873792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AngeliaEudy",0,FALSE,FALSE,NA,NA,"Charlotte, NC"
